0,totals_rides,totals_runs,rides_VS_runs,,,,,
Albania,1,0,1,,,,,
Chile,69,47,0.189655172,,,,,
Denmark,5,484,-0.979550102,,,,,
Hungary,2,5,-0.428571429,,,,,
Japan,561,429,0.133333333,,,,,
Mongolia,0,2,-1,,,,,
Tanzania,89,197,-0.377622378,,,,,
Trinidad and Tobago,128,0,1,,,,,
Ukraine,171,481,-0.475460123,,,,,
France,3610,2461,0.189260418,,,,,
Hong Kong,70,272,-0.590643275,,,,,
Italy,1533,1290,0.08607864,,,,,
New Zealand,2,620,-0.993569132,,,,,
Palau,0,395,-1,,,,,
Paraguay,3,0,1,,,,,
Philippines,2244,835,0.457616109,,,,,
Singapore,187,63,0.496,,,,,
Spain,2346,1525,0.212089899,,,,,
Switzerland,1591,590,0.458963778,,,,,
Taiwan,128,387,-0.502912621,,,,,
Andorra,215,20,0.829787234,,,,,
Cambodia,26,0,1,,,,,
Canada,482,1629,-0.543344387,,,,,
Croatia,1,0,1,,,,,
Georgia,6,0,1,,,,,
Indonesia,298,457,-0.210596026,,,,,
Kenya,0,1,-1,,,,,
Nepal,1,0,1,,,,,
Nigeria,2,0,1,,,,,
Vietnam,45,189,-0.615384615,,,,,
Austria,53,365,-0.746411483,,,,,
Bangladesh,24,199,-0.784753363,,,,,
Bulgaria,4,0,1,,,,,
Ecuador,1,0,1,,,,,
Estonia,415,2,0.990407674,,,,,
Honduras,0,3,-1,,,,,
Ireland,238,52,0.64137931,,,,,
Macedonia,4,11,-0.466666667,,,,,
Maldives,2,340,-0.988304094,,,,,
Netherlands,795,721,0.048812665,,,,,
Romania,566,101,0.697151424,,,,,
Slovakia,151,649,-0.6225,,,,,
United Kingdom,8448,11289,-0.143942848,,,,,
Algeria,63,1,0.96875,,,,,
Brazil,39358,12549,0.516481399,,,,,
Costa Rica,60,206,-0.54887218,,,,,
Dominican Rep.,276,95,0.48787062,,,,,
Finland,1,1,0,,,,,
Iceland,1,2,-0.333333333,,,,,
Malaysia,185,381,-0.346289753,,,,,
Oman,125,0,1,,,,,
Pakistan,1,2,-0.333333333,,,,,`
Slovenia,4,92,-0.916666667,,,,,
United States,4592,8993,-0.3239602,,,,,
Venezuela,231,12,0.901234568,,,,,
Zambia,2,73,-0.946666667,,,,,
Colombia,1488,1058,0.16889238,,,,,
Cyprus,294,2,0.986486486,,,,,
Ghana,47,0,1,,,,,
Iran,489,25,0.902723735,,,,,
Iraq,1,0,1,,,,,
Mali,1,0,1,,,,,
Mexico,522,760,-0.185647426,,,,,
Monaco,45,39,0.071428571,,,,,
Montenegro,241,0,1,,,,,
Morocco,224,580,-0.44278607,,,,,
Norway,3,110,-0.946902655,,,,,
Peru,297,216,0.157894737,,,,,
Poland,787,990,-0.114237479,,,,,
Thailand,656,1817,-0.469470279,,,,,
Turkey,768,24,0.939393939,,,,,
Argentina,228,392,-0.264516129,,,,,
Australia,1450,1519,-0.023240148,,,,,
Egypt,398,295,0.148629149,,,,,
Greece,6,6,0,,,,,
Israel,11,78,-0.752808988,,,,,
India,23110,11648,0.329765809,,,,,
Latvia,1,5,-0.666666667,,,,,
Luxembourg,112,61,0.294797688,,,,,
Namibia,97,48,0.337931034,,,,,
Portugal,1475,1117,0.138117284,,,,,
Qatar,42,3,0.866666667,,,,,
South Africa,204,453,-0.378995434,,,,,
Saudi Arabia,255,326,-0.122203098,,,,,
United Arab Emirates,398,400,-0.002506266,,,,,
Belgium,1446,1459,-0.004475043,,,,,
Czech Rep.,373,492,-0.137572254,,,,,
Germany,4393,4716,-0.035459436,,,,,
Guatemala,1,9,-0.8,,,,,
Kazakhstan,318,1194,-0.579365079,,,,,
Kuwait,0,17,-1,,,,,
Russia,1591,5348,-0.541432483,,,,,
Rwanda,13,0,1,,,,,
Serbia,143,0,1,,,,,
Korea,173,908,-0.679925994,,,,,
Sweden,82,503,-0.71965812,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,4,
