name,distance,athlets
Brazil,34.84,346
India,25.01,176
United Kingdom,22.06,88
USA,24.51,86
Spain,35.19,52
France,26.8,39
Germany,26.24,36
Russia,13.19,38
Italy,47.85,34
Colombia,30.44,21
Philippines,33.74,20
Portugal,33.71,14
Switzerland,50.44,13
Belgium,39.53,13
Indonesia,40.57,11
Japan,19.27,10
Canada,9.33,10
South Korea,31.27,10
Austria,52.27,9
Australia,34.88,9
Netherlands,37.07,9
Saudi Arabia,26.36,7
Mexico,29.28,7
Thailand,21.11,7
Turkey,41.2,6
South Africa,11.08,5
United Arab Emirates,30.78,5
Romania,19.08,4
Sweden,5.5,4
Poland,10.62,4
Argentina,29.72,4
Slovakia,23.23,4
Singapore,26.05,3
Venezuela,45.25,3
Czech Rep.,47.61,3
Andorra,71.52,3
Egypt,32.56,3
Peru,27.63,3
Morocco,44.45,3
Tanzania,12.66,2
Ireland,35.8,2
Kazakhstan,5.42,2
Malaysia,1.54,2
Taiwan,41.48,2
Nigeria,49.74,2
Qatar,14.79,2
Monaco,43.15,2
Ukraine,23.38,2
Macedonia,5.93,2
Luxembourg,24.12,2
Oman,0.19,2
Hong Kong,16.8,2
Iran,5.05,2
Namibia,0,2
Vietnam,47.47,1
Pakistan,22.24,1
Guatemala,0.01,1
Maldives,0.3,1
New Zealand,26.88,1
Iraq,36.4,1
Greece,51.09,1
Slovenia,46.18,1
Rwanda,108.02,1
Bangladesh,19.15,1
Paraguay,22.47,1
Mali,36.99,1
Latvia,9.86,1
Trinidad and Tobago,54.62,1
Costa Rica,1.7,1
Serbia,46.55,1
Bulgaria,3.39,1
Albania,14.03,1
Cyprus,66.69,1
Israel,30.93,3
Dominican Rep.,43.32,1
Ecuador,35.7,1
Chile,56.93,1
Ghana,44.72,1
Denmark,63.38,1
Cambodia,39.11,1
Hungary,49.57,1
Finland,118.82,1
Estonia,8.26,1
Montenegro,49.11,1
Croatia,7.01,1
Iceland,8.26,1
Georgia,61.3,1
Jersey,44.16,1
Nepal,39.78,1
Norway,6.78,1
Zambia,0.23,1
Algeria,52.3,1
