name,dist,athletes
Brazil,6.12,218
India,5.39,140
United Kingdom,5.8,86
United States,6.55,79
Russia,7.17,45
Germany,7.26,35
Spain,8.08,33
France,7.85,31
Italy,9.2,28
Portugal,7.15,14
Switzerland,7.29,12
Belgium,8.23,12
Netherlands,10.45,11
Philippines,5.01,11
Colombia,7.1,10
Canada,7.56,10
Austria,8.01,10
United Arab Emirates,7.42,9
Mexico,5.2,9
South Korea,10.02,9
Thailand,6.67,8
Saudi Arabia,7.63,7
Australia,7.03,7
Indonesia,6.12,6
Japan,9.41,6
Poland,7.51,6
Sweden,5.4,4
Malaysia,7.03,4
Taiwan,14.13,4
Iran,10.02,4
Egypt,4,4
Turkey,9.85,4
Tanzania,11.05,4
Kazakhstan,6.1,4
Romania,2.59,3
New Zealand,13.18,3
Norway,7.19,3
Argentina,7.11,3
Peru,5.14,3
Ukraine,11.52,3
Hong Kong,10.2,3
Vietnam,4.36,2
Kuwait,4.02,2
Monaco,6.56,2
Palau,8.01,2
Slovakia,10.01,2
Namibia,4.37,2
Morocco,4.71,2
Czechia,8.38,2
Ireland,4.57,2
Greece,0.86,2
Estonia,7.79,2
South Africa,5.03,2
Maldives,17.06,2
Mongolia,5.06,1
Pakistan,1.01,1
Guatemala,1.67,1
Andorra,9.48,1
Singapore,10.1,1
Israel,8.5,2
Qatar,10,1
Honduras,7.84,1
Chile,10,1
Slovenia,10.06,1
Евпаторийский городской совет,2.93,1
Kenya,10.85,1
Cayman Islands,3.23,1
Cyprus,13,1
Bangladesh,10,1
Denmark,10.01,1
Algeria,10.01,1
San Marino,6.89,1
Hungary,48.62,1
Vatican City,6.26,1
Latvia,5.69,1
Macedonia,4.43,1
Luxembourg,8.01,1
Costa Rica,6.44,1
Dominican Rep.,11.22,1
Finland,14,1
Iceland,2.5,1
Venezuela,8.41,1
Zambia,3.26,1
